Query Length,nDCG@10
6,0.0
21,1.0
8,1.0
10,0.0
10,0.20438239758848611
15,0.6309297535714575
15,0.6309297535714575
8,1.0
7,1.0
9,1.0
10,1.0
13,1.0
16,1.0
16,1.0
6,1.0
8,0.5
15,0.6309297535714575
7,1.0
11,1.0
8,1.0
13,1.0
11,1.0
12,1.0
13,1.0
10,0.6309297535714575
8,0.5
15,1.0
15,1.0
6,0.0
22,0.45221360703148816
13,1.0
12,0.8772153153380493
22,1.0
19,1.0
20,1.0
5,1.0
9,1.0
11,1.0
8,0.5855700749881525
22,1.0
8,0.6309297535714575
9,0.5
5,0.6309297535714575
7,1.0
7,0.31546487678572877
14,0.3562071871080222
9,1.0
9,1.0
8,1.0
8,1.0
13,1.0
12,0.5
12,1.0
10,1.0
12,1.0
7,0.3333333333333333
8,0.3010299956639812
8,1.0
8,1.0
12,0.48247555939075504
5,0.6309297535714575
5,0.6309297535714575
22,1.0
15,0.6049306994552042
11,1.0
12,0.6309297535714575
18,1.0
13,1.0
28,0.6309297535714575
14,0.0
14,0.3562071871080222
23,0.5
6,0.0
12,1.0
6,1.0
17,0.6509209298071326
14,1.0
11,1.0
25,1.0
12,1.0
13,0.0
13,0.6240505200038379
17,1.0
9,0.5
11,1.0
9,1.0
9,1.0
13,0.31546487678572877
13,0.0
12,0.0
14,1.0
21,0.0
15,0.6309297535714575
15,0.6309297535714575
10,1.0
10,0.0
10,0.31546487678572877
26,0.6309297535714575
14,1.0
7,1.0
16,0.0
16,0.6309297535714575
11,0.0
7,0.6309297535714575
22,1.0
15,1.0
8,0.3333333333333333
27,1.0
21,1.0
18,0.6309297535714575
28,1.0
7,1.0
7,1.0
9,0.0
7,1.0
6,1.0
8,0.20438239758848611
10,0.38685280723454163
7,1.0
26,0.5
21,1.0
13,0.31546487678572877
14,0.0
10,1.0
12,1.0
24,1.0
12,1.0
29,0.5
22,1.0
11,1.0
7,0.9134015924715543
21,0.3010299956639812
12,1.0
15,0.3065735963827292
13,0.31546487678572877
17,0.0
15,0.5
13,1.0
9,0.7977228895450266
7,1.0
15,0.6309297535714575
7,1.0
6,1.0
11,1.0
12,1.0
22,1.0
14,1.0
11,1.0
11,1.0
11,0.6309297535714575
12,0.5
15,0.2890648263178879
10,0.0
10,0.6309297535714575
14,1.0
15,1.0
14,0.5
12,0.5249810332008933
12,0.6309297535714575
8,1.0
5,1.0
16,0.6309297535714575
15,0.38685280723454163
20,0.6309297535714575
11,0.3562071871080222
27,1.0
16,0.0
14,0.6309297535714575
14,0.0
16,0.5
16,0.6309297535714575
5,1.0
19,0.0
8,1.0
9,1.0
15,1.0
26,1.0
9,0.0
9,0.0
7,1.0
17,0.3333333333333333
12,0.0
7,1.0
11,0.0
8,1.0
14,1.0
10,1.0
18,1.0
15,0.6309297535714575
8,0.6309297535714575
4,0.0
7,0.2442584792702138
10,1.0
9,1.0
12,1.0
13,0.3562071871080222
11,1.0
22,1.0
17,1.0
16,1.0
7,0.0
8,0.0
10,1.0
12,1.0
8,1.0
14,0.5
10,1.0
5,1.0
11,0.9197207891481876
21,0.7106752765782569
11,0.0
18,1.0
13,1.0
9,1.0
10,1.0
9,1.0
9,0.6309297535714575
24,0.43067655807339306
24,0.43067655807339306
11,1.0
22,0.7653606369886217
16,0.44130740935663865
11,0.0
7,1.0
19,1.0
12,0.0
15,1.0
4,0.5
4,0.6309297535714575
25,1.0
10,1.0
8,0.0
13,0.6309297535714575
19,1.0
15,0.20438239758848611
7,1.0
10,1.0
18,1.0
11,1.0
13,1.0
10,1.0
9,0.0
11,0.3333333333333333
10,0.38685280723454163
28,1.0
24,1.0
11,0.0
21,0.6309297535714575
12,0.38685280723454163
13,0.38685280723454163
19,0.0
23,0.0
15,1.0
14,1.0
21,1.0
13,0.0
11,1.0
16,0.0
7,0.0
16,0.0
16,1.0
10,1.0
11,0.38685280723454163
24,0.6309297535714575
14,1.0
23,1.0
14,1.0
21,1.0
15,0.3010299956639812
12,1.0
25,0.6978817289434457
16,0.43067655807339306
13,0.43067655807339306
14,0.0
10,0.0
15,1.0
11,1.0
10,1.0
24,1.0
8,1.0
11,0.0
10,0.6309297535714575
16,0.6309297535714575
21,0.0
9,1.0
8,0.6309297535714575
12,1.0
13,1.0
28,0.6309297535714575
12,1.0
20,1.0
8,0.5
11,1.0
8,0.0
8,0.6309297535714575
16,0.45905478457279136
8,0.3562071871080222
6,1.0
8,1.0
21,0.0
