,qid,query
0,1,origin of covid 19
1,2,how coronaviruses respond to weather changes
2,3,do sars cov 2 infected people develop immunity and is cross-protection possible
3,4,causes of death from covid 19
4,5,drugs active against sars cov or sars cov 2 in animal studies
5,6,rapid testing for covid 19
6,7,serological tests for coronavirus antibodies
7,8,lack of testing availability and underreporting of true incidence of covid 19
8,9,Covid 19 in Canada
9,10,social distancing and its impact on slowing down the spread of covid 19
10,11,guidelines for triaging coronavirus patients
11,12,best practices for quarantine maintenance in hospitals and homes
12,13,transmission routes of coronavirus
13,14,Evidence related to COVID 19 super spreaders.
14,15,longevity of coronavirus outside the body
15,16,time coronavirus remains stable on surfaces
16,17,clinical trials for coronavirus
17,18,best masks for preventing covid 19
18,19,hand sanitizer for destroying covid 19
19,20,Patients taking ACE inhibitors at increased risk for COVID 19?
20,21,mortality rates overall and in specific populations
21,22,cardiac complications in patients with covid 19
22,23,complications related to covid 19 and hypertension
23,24,complications related to covid 19 associated with diabetes
24,25,biomarkers predicting severe clinical course of 2019 ncov infection
25,26,initial symptoms of covid 19
26,27,known about asymptomatic covid 19
27,28,evidence for hydroxychloroquine in treating covid 19
28,29,SARS CoV 2 protein-human protein interactions for potential drug targets and approved drugs that can be repurposed.
29,30,effectiveness of remdesivir in treating covid 19
30,31,coronavirus vs seasonal flu
31,32,SARS CoV 2 subtypes
32,33,Vaccine candidates for COVID-19
33,34,longer term complications of recovering from covid 19
34,35,new covid 19 datasets
35,36,sars cov 2 spike protein structure
36,37,Result of SARS CoV 2 genome sequence phylogenetic analysis
37,38,mechanism of inflammatory response and pathogenesis of covid 19
38,39,mechanism of cytokine storm in covid 19
39,40,observed SARS CoV 2 genome mutations and mutation frequency
40,41,Covid 19 impacts on African Americans vs. US population
41,42,vitamin d and covid 19 prevention and treatment
42,43,impact of covid 19 on violence in society including violent crimes
43,44,mask impact on preventing covid 19 spread
44,45,impact of covid 19 on mental health
45,46,Evidence for dexamethasone as a treatment for COVID 19
46,47,health outcomes for children who contract covid 19
47,48,benefits and risks of reopening schools during covid 19 pandemic
48,49,Do recovered COVID 19 patients have sufficient immunity against re-infection?
49,50,what is known about mrna vaccine for sars cov 2
